split,image_path,label
train,data\processed\synthetic\images\synthetic_0029.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0021.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0018.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0038.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0050.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0002.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0085.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0063.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0087.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0072.jpg,standstill
train,data\processed\synthetic\images\synthetic_0009.jpg,standstill
train,data\processed\synthetic\images\synthetic_0025.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0093.jpg,standstill
train,data\processed\synthetic\images\synthetic_0034.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0061.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0089.jpg,standstill
train,data\processed\synthetic\images\synthetic_0005.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0036.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0028.jpg,standstill
train,data\processed\synthetic\images\synthetic_0015.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0023.jpg,standstill
train,data\processed\synthetic\images\synthetic_0052.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0055.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0075.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0080.jpg,standstill
train,data\processed\synthetic\images\synthetic_0010.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0084.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0090.jpg,standstill
train,data\processed\synthetic\images\synthetic_0071.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0035.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0091.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0045.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0019.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0012.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0048.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0079.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0008.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0040.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0047.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0094.jpg,standstill
train,data\processed\synthetic\images\synthetic_0043.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0062.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0024.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0011.jpg,standstill
train,data\processed\synthetic\images\synthetic_0064.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0041.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0001.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0074.jpg,standstill
train,data\processed\synthetic\images\synthetic_0000.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0056.jpg,standstill
train,data\processed\synthetic\images\synthetic_0014.jpg,standstill
train,data\processed\synthetic\images\synthetic_0077.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0032.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0065.jpg,heavy_traffic
